iter	Passed	Remaining
0	1	112
1	1	93
2	2	83
3	3	76
4	3	75
5	4	74
6	5	72
7	6	71
8	7	70
9	7	69
10	8	68
11	9	69
12	10	67
13	10	66
14	11	65
15	12	67
16	13	66
17	14	65
18	15	65
19	16	64
20	16	63
21	17	62
22	18	61
23	18	60
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	28	51
36	29	50
37	30	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	36	41
47	37	40
48	38	39
49	38	38
50	39	38
51	40	37
52	41	36
53	42	35
54	42	35
55	43	34
56	44	33
57	45	32
58	46	32
59	46	31
60	47	30
61	48	29
62	49	28
63	49	28
64	50	27
65	51	26
66	52	25
67	52	24
68	53	24
69	54	23
70	55	22
71	56	21
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	62	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	66	11
85	67	10
86	67	10
87	68	9
88	68	8
89	69	7
90	70	6
91	71	6
92	72	5
93	73	4
94	73	3
95	74	3
96	75	2
97	75	1
98	76	0
99	76	0
